Date,Price,Open,High,Low,Vol,Change,200EMA,20EMA
2022.09.27,0.9592,0.961,0.9671,0.9568,104220,-0.15,1.0583,0.9891
2022.09.26,0.9606,0.9679,0.9711,0.9567,109840,-0.87,1.0593,0.9922
2022.09.23,0.969,0.9837,0.9852,0.9668,90970,-1.48,1.0603,0.9955
2022.09.22,0.9836,0.9837,0.9908,0.9808,103830,-0.01,1.0613,0.9983
2022.09.21,0.9837,0.9972,0.9978,0.9813,87440,-1.33,1.062,0.9999
2022.09.20,0.997,1.0023,1.0051,0.9955,72940,-0.52,1.0628,1.0016
2022.09.19,1.0022,1.0012,1.003,0.9966,63180,0.07,1.0635,1.002
2022.09.16,1.0015,1.0001,1.0037,0.9944,72840,0.16,1.0641,1.002
2022.09.15,0.9999,0.998,1.0019,0.9955,69080,0.22,1.0647,1.0021
2022.09.14,0.9977,0.9969,1.0024,0.9955,87670,0.07,1.0654,1.0023
2022.09.13,0.997,1.0123,1.0188,0.9966,77650,-1.47,1.0661,1.0028
2022.09.12,1.0119,1.008,1.0199,1.0059,62340,0.8,1.0668,1.0034
2022.09.09,1.0039,0.9995,1.0114,0.9995,76390,0.45,1.0673,1.0025
2022.09.08,0.9994,1.0002,1.003,0.993,86340,-0.05,1.0679,1.0024
2022.09.07,0.9999,0.9904,1.0012,0.9875,82610,0.98,1.0686,1.0027
2022.09.06,0.9902,0.9927,0.9987,0.9863,101490,-0.24,1.0693,1.003
2022.09.05,0.9926,0.995,0.995,0.9877,67110,-0.25,1.0701,1.0043
2022.09.02,0.9951,0.9945,1.0035,0.9942,68960,0.07,1.0709,1.0056
2022.09.01,0.9944,1.0055,1.0057,0.9911,85850,-1.12,1.0717,1.0067
2022.08.31,1.0057,1.0014,1.0079,0.9971,87590,0.45,1.0724,1.0079
2022.08.30,1.0012,0.9996,1.0056,0.9981,90210,0.17,1.0731,1.0082
2022.08.29,0.9995,0.9977,1.0029,0.9913,59850,0.34,1.0738,1.0089
2022.08.26,0.9961,0.9974,1.0091,0.9947,60920,-0.13,1.0746,1.0099
2022.08.25,0.9974,0.9967,1.0035,0.9948,82500,0.09,1.0754,1.0114
2022.08.24,0.9965,0.997,1,0.9909,67560,-0.02,1.0761,1.0128
2022.08.23,0.9967,0.9944,1.0019,0.99,82390,0.26,1.0769,1.0145
2022.08.22,0.9941,1.0041,1.0048,0.9926,87970,-0.93,1.0778,1.0164
2022.08.19,1.0034,1.0089,1.0096,1.0031,76590,-0.54,1.0786,1.0188
2022.08.18,1.0088,1.018,1.0194,1.0079,78310,-0.9,1.0793,1.0204
2022.08.17,1.018,1.017,1.0203,1.0145,92060,0.1,1.0801,1.0216
2022.08.16,1.017,1.0162,1.0195,1.0122,63580,0.1,1.0807,1.022
2022.08.15,1.016,1.0263,1.027,1.0155,64989,-0.96,1.0813,1.0225
2022.08.12,1.0258,1.0316,1.0329,1.0237,80250,-0.57,1.082,1.0232
2022.08.11,1.0317,1.0299,1.0366,1.0275,84770,0.19,1.0825,1.0229
2022.08.10,1.0297,1.0214,1.0369,1.0201,88510,0.84,1.0831,1.022
2022.08.09,1.0211,1.0198,1.0248,1.0188,80550,0.16,1.0836,1.0212
2022.08.08,1.0195,1.0179,1.0223,1.0158,67810,0.14,1.0842,1.0212
2022.08.05,1.0181,1.0247,1.0253,1.0141,82580,-0.61,1.0849,1.0214
2022.08.04,1.0243,1.0162,1.0254,1.0154,79410,0.78,1.0855,1.0217
2022.08.03,1.0164,1.0166,1.021,1.0122,79900,0,1.0862,1.0215
2022.08.02,1.0164,1.0261,1.0295,1.0163,102380,-0.95,1.0869,1.022
2022.08.01,1.0261,1.0218,1.0276,1.0205,84580,0.42,1.0876,1.0226
2022.07.29,1.0218,1.0196,1.0255,1.0145,81820,0.22,1.0882,1.0222
2022.07.28,1.0196,1.0198,1.0236,1.0114,106640,-0.06,1.0888,1.0223
2022.07.27,1.0202,1.0116,1.0222,1.0096,76150,0.87,1.0895,1.0225
2022.07.26,1.0114,1.022,1.0251,1.0107,79220,-1.04,1.0902,1.0228
2022.07.25,1.022,1.0212,1.0259,1.0179,77430,0.1,1.091,1.024
2022.07.22,1.021,1.023,1.0256,1.0129,73440,-0.18,1.0917,1.0242
2022.07.21,1.0228,1.0178,1.0279,1.0153,105360,0.5,1.0924,1.0245
2022.07.20,1.0177,1.0228,1.0274,1.0155,92860,-0.46,1.0931,1.0247
2022.07.19,1.0224,1.0143,1.027,1.012,80210,0.82,1.0939,1.0254
2022.07.18,1.0141,1.0085,1.0202,1.0078,74880,0.54,1.0946,1.0258
2022.07.15,1.0087,1.0018,1.0099,1.0007,77730,0.71,1.0954,1.027
2022.07.14,1.0016,1.0061,1.0065,0.9952,89570,-0.44,1.0963,1.0289
2022.07.13,1.006,1.004,1.0123,0.9998,82540,0.24,1.0972,1.0318
2022.07.12,1.0036,1.004,1.0074,0.9999,87760,-0.03,1.0982,1.0345
2022.07.11,1.0039,1.0173,1.0185,1.0034,77380,-1.41,1.0991,1.0378
2022.07.08,1.0183,1.0159,1.0193,1.0072,90460,0.24,1.1001,1.0413
2022.07.07,1.0159,1.0181,1.0222,1.0144,86850,-0.22,1.1009,1.0437
2022.07.06,1.0181,1.0268,1.0277,1.0161,95910,-0.83,1.1017,1.0467
