Date,Price,Open,High,Low,Vol,Change,200EMA
2022.08.29,0.9995,0.9977,1.0029,0.9913,59850,0.34,1.073824048
2022.08.26,0.9961,0.9974,1.0091,0.9947,60920,-0.13,1.074571023
2022.08.25,0.9974,0.9967,1.0035,0.9948,82500,0.09,1.075359677
2022.08.24,0.9965,0.997,1,0.9909,67560,-0.02,1.076143191
2022.08.23,0.9967,0.9944,1.0019,0.99,82390,0.26,1.076943625
2022.08.22,0.9941,1.0041,1.0048,0.9926,87970,-0.93,1.077750094
2022.08.19,1.0034,1.0089,1.0096,1.0031,76590,-0.54,1.078590798
2022.08.18,1.0088,1.018,1.0194,1.0079,78310,-0.9,1.079346485
2022.08.17,1.018,1.017,1.0203,1.0145,92060,0.1,1.080055494
2022.08.16,1.017,1.0162,1.0195,1.0122,63580,0.1,1.080679168
2022.08.15,1.016,1.0263,1.027,1.0155,64989,-0.96,1.081319159
2022.08.12,1.0258,1.0316,1.0329,1.0237,80250,-0.57,1.081975633
2022.08.11,1.0317,1.0299,1.0366,1.0275,84770,0.19,1.082540213
2022.08.10,1.0297,1.0214,1.0369,1.0201,88510,0.84,1.08305117
2022.08.09,1.0211,1.0198,1.0248,1.0188,80550,0.16,1.083587362
2022.08.08,1.0195,1.0179,1.0223,1.0158,67810,0.14,1.084215376
2022.08.05,1.0181,1.0247,1.0253,1.0141,82580,-0.61,1.084865782
2022.08.04,1.0243,1.0162,1.0254,1.0154,79410,0.78,1.085536795
2022.08.03,1.0164,1.0166,1.021,1.0122,79900,0,1.08615224
2022.08.02,1.0164,1.0261,1.0295,1.0163,102380,-0.95,1.086853267
2022.08.01,1.0261,1.0218,1.0276,1.0205,84580,0.42,1.08756134
2022.07.29,1.0218,1.0196,1.0255,1.0145,81820,0.22,1.088179042
2022.07.28,1.0196,1.0198,1.0236,1.0114,106640,-0.06,1.088846168
2022.07.27,1.0202,1.0116,1.0222,1.0096,76150,0.87,1.08954211
2022.07.26,1.0114,1.022,1.0251,1.0107,79220,-1.04,1.090239015
2022.07.25,1.022,1.0212,1.0259,1.0179,77430,0.1,1.091031367
2022.07.22,1.021,1.023,1.0256,1.0129,73440,-0.18,1.09172515
2022.07.21,1.0228,1.0178,1.0279,1.0153,105360,0.5,1.092435955
