Date,Price,Open,High,Low,Change %,200EMA,20EMA
04/07/2015,1.0816,1.0922,1.0957,1.0805,-0.99%,1.2065,1.0877
04/06/2015,1.0924,1.0991,1.1037,1.0911,-0.49%,1.2078,1.0884
04/03/2015,1.0978,1.0883,1.1028,1.0864,0.86%,1.2089,1.0879
04/02/2015,1.0884,1.0764,1.0905,1.0751,1.11%,1.21,1.0869
04/01/2015,1.0764,1.0735,1.0801,1.0719,0.31%,1.2113,1.0867
03/31/2015,1.0731,1.0833,1.0846,1.0713,-0.95%,1.2126,1.0878
03/30/2015,1.0834,1.0889,1.0897,1.0811,-0.50%,1.214,1.0894
03/27/2015,1.0888,1.0886,1.0949,1.0802,0.04%,1.2153,1.09
03/26/2015,1.0884,1.0969,1.1052,1.0856,-0.80%,1.2166,1.0901
03/25/2015,1.0972,1.0926,1.1016,1.0901,0.42%,1.2179,1.0903
03/24/2015,1.0926,1.0947,1.1031,1.0892,-0.19%,1.2191,1.0896
03/23/2015,1.0947,1.0837,1.0972,1.0768,1.16%,1.2204,1.0893
03/20/2015,1.0822,1.0661,1.0883,1.065,1.52%,1.2216,1.0887
03/19/2015,1.066,1.0866,1.0915,1.0613,-1.90%,1.223,1.0894
03/18/2015,1.0867,1.0598,1.1033,1.0581,2.54%,1.2246,1.0918
03/17/2015,1.0598,1.0566,1.065,1.0551,0.28%,1.226,1.0924
03/16/2015,1.0568,1.0494,1.0621,1.0459,0.70%,1.2277,1.0958
03/13/2015,1.0495,1.0637,1.0639,1.0462,-1.32%,1.2294,1.0999
03/12/2015,1.0635,1.0547,1.0684,1.0495,0.83%,1.2312,1.1052
03/11/2015,1.0547,1.0699,1.0718,1.0511,-1.41%,1.2329,1.1096
03/10/2015,1.0698,1.0851,1.0856,1.0692,-1.42%,1.2347,1.1154
03/09/2015,1.0852,1.0832,1.0908,1.0823,0.07%,1.2363,1.1202
03/06/2015,1.0844,1.1033,1.1035,1.0842,-1.70%,1.2379,1.1238
03/05/2015,1.1031,1.1079,1.1115,1.0989,-0.43%,1.2394,1.128
03/04/2015,1.1079,1.1178,1.1187,1.1062,-0.87%,1.2408,1.1306
03/03/2015,1.1176,1.1183,1.1219,1.1155,-0.08%,1.2421,1.133
03/02/2015,1.1185,1.1187,1.1242,1.1159,-0.09%,1.2434,1.1346
02/27/2015,1.1195,1.1199,1.1248,1.1178,-0.03%,1.2446,1.1363
02/26/2015,1.1198,1.1361,1.1381,1.1184,-1.44%,1.2459,1.1381
02/25/2015,1.1362,1.134,1.1389,1.1334,0.19%,1.2471,1.14
02/24/2015,1.1341,1.1336,1.136,1.1289,0.08%,1.2483,1.1404
02/23/2015,1.1332,1.1385,1.1414,1.1296,-0.43%,1.2494,1.1411
02/20/2015,1.1381,1.137,1.1431,1.128,0.13%,1.2506,1.1419
02/19/2015,1.1366,1.1397,1.145,1.1355,-0.27%,1.2517,1.1423
02/18/2015,1.1397,1.1412,1.1418,1.1334,-0.13%,1.2529,1.1429
02/17/2015,1.1412,1.1354,1.145,1.1322,0.52%,1.254,1.1433
02/16/2015,1.1353,1.1385,1.1429,1.1317,-0.28%,1.2551,1.1435
02/13/2015,1.1385,1.1403,1.1443,1.138,-0.16%,1.2563,1.1444
02/12/2015,1.1403,1.1334,1.1423,1.1302,0.61%,1.2575,1.145
02/11/2015,1.1334,1.1321,1.1349,1.128,0.11%,1.2587,1.1455
02/10/2015,1.1321,1.1327,1.1347,1.1274,-0.03%,1.26,1.1467
02/09/2015,1.1324,1.1315,1.1359,1.1271,0.08%,1.2612,1.1483
02/06/2015,1.1315,1.1477,1.1488,1.1313,-1.41%,1.2625,1.1499
02/05/2015,1.1477,1.1345,1.15,1.1304,1.15%,1.2638,1.1519
02/04/2015,1.1347,1.1482,1.1486,1.1317,-1.17%,1.265,1.1523
02/03/2015,1.1481,1.1343,1.1534,1.1313,1.23%,1.2663,1.1542
02/02/2015,1.1342,1.1284,1.1364,1.128,0.48%,1.2675,1.1548
01/30/2015,1.1288,1.1321,1.1366,1.1279,-0.28%,1.2689,1.157
01/29/2015,1.132,1.1287,1.1369,1.1261,0.28%,1.2703,1.16
01/28/2015,1.1288,1.1382,1.1385,1.1276,-0.82%,1.2717,1.1629
01/27/2015,1.1381,1.1237,1.1423,1.1224,1.26%,1.2731,1.1665
01/26/2015,1.1239,1.1186,1.1297,1.1099,0.28%,1.2744,1.1695
01/23/2015,1.1208,1.1366,1.1374,1.1114,-1.39%,1.276,1.1743
01/22/2015,1.1366,1.161,1.1648,1.1317,-2.10%,1.2775,1.1799
01/21/2015,1.161,1.1553,1.1677,1.1542,0.51%,1.2789,1.1845
01/20/2015,1.1551,1.1606,1.1616,1.154,-0.47%,1.2801,1.187
01/19/2015,1.1606,1.1551,1.1641,1.1545,0.31%,1.2814,1.1903
01/16/2015,1.157,1.1633,1.165,1.1462,-0.52%,1.2826,1.1934
01/15/2015,1.1631,1.1789,1.1795,1.157,-1.34%,1.2838,1.1973
01/14/2015,1.1789,1.1772,1.1846,1.1726,0.14%,1.2851,1.2009
01/13/2015,1.1772,1.1833,1.186,1.1753,-0.52%,1.2861,1.2032
01/12/2015,1.1834,1.1838,1.1871,1.1786,-0.06%,1.2872,1.2059
01/09/2015,1.1841,1.1793,1.1848,1.1763,0.41%,1.2883,1.2083
01/08/2015,1.1793,1.1839,1.1848,1.1753,-0.39%,1.2893,1.2108
01/07/2015,1.1839,1.1892,1.1898,1.1803,-0.42%,1.2904,1.2141
01/06/2015,1.1889,1.1933,1.1969,1.1884,-0.38%,1.2915,1.2173
01/05/2015,1.1934,1.2003,1.2008,1.1883,-0.57%,1.2925,1.2203
01/02/2015,1.2003,1.2106,1.2111,1.2001,-0.83%,1.2935,1.2232
01/01/2015,1.2104,1.21,1.2107,1.2094,0.05%,1.2945,1.2256
12/31/2014,1.2098,1.2155,1.2172,1.2096,-0.49%,1.2953,1.2272
12/30/2014,1.2157,1.2151,1.2188,1.2123,0.04%,1.2962,1.229
12/29/2014,1.2152,1.2182,1.2221,1.2142,-0.20%,1.297,1.2304
12/26/2014,1.2176,1.2224,1.2228,1.2168,-0.38%,1.2978,1.232
12/25/2014,1.2222,1.2195,1.2256,1.2186,0.22%,1.2986,1.2335
12/24/2014,1.2195,1.2172,1.2222,1.217,0.19%,1.2994,1.2347
12/23/2014,1.2172,1.2231,1.2247,1.2165,-0.48%,1.3002,1.2363
12/22/2014,1.2231,1.2226,1.2273,1.2216,0.02%,1.301,1.2383
12/19/2014,1.2228,1.2288,1.2305,1.2222,-0.47%,1.3018,1.2399
12/18/2014,1.2286,1.2342,1.2353,1.2265,-0.46%,1.3026,1.2417
12/17/2014,1.2343,1.2512,1.2517,1.2322,-1.34%,1.3033,1.2431
12/16/2014,1.2511,1.2437,1.2571,1.2433,0.59%,1.304,1.244
12/15/2014,1.2437,1.2462,1.2485,1.2414,-0.20%,1.3045,1.2432
12/12/2014,1.2462,1.2413,1.2487,1.2384,0.41%,1.3052,1.2432
12/11/2014,1.2411,1.2448,1.2496,1.237,-0.30%,1.3057,1.2429
12/10/2014,1.2448,1.2374,1.2449,1.2361,0.59%,1.3064,1.2431
12/09/2014,1.2375,1.2317,1.2448,1.2292,0.47%,1.307,1.2429
12/08/2014,1.2317,1.2278,1.2344,1.2246,0.26%,1.3077,1.2434
12/05/2014,1.2285,1.238,1.2393,1.2271,-0.76%,1.3085,1.2447
12/04/2014,1.2379,1.2313,1.2458,1.2282,0.55%,1.3093,1.2464
12/03/2014,1.2311,1.2382,1.2391,1.23,-0.58%,1.31,1.2473
12/02/2014,1.2383,1.2471,1.2478,1.2377,-0.70%,1.3108,1.249
12/01/2014,1.247,1.2456,1.2507,1.2419,0.14%,1.3115,1.2501
11/28/2014,1.2452,1.2468,1.2492,1.2427,-0.12%,1.3122,1.2504
11/27/2014,1.2467,1.2506,1.2524,1.2464,-0.31%,1.3128,1.251
11/26/2014,1.2506,1.2475,1.2532,1.2443,0.25%,1.3135,1.2514
11/25/2014,1.2475,1.2443,1.2487,1.2401,0.26%,1.3141,1.2515
11/24/2014,1.2443,1.2376,1.2445,1.2357,0.43%,1.3148,1.2519
11/21/2014,1.239,1.2541,1.2571,1.2376,-1.20%,1.3155,1.2527
11/20/2014,1.254,1.2555,1.2576,1.2504,-0.11%,1.3163,1.2542
11/19/2014,1.2554,1.2537,1.26,1.2512,0.14%,1.3169,1.2542
11/18/2014,1.2537,1.245,1.2546,1.2442,0.70%,1.3175,1.2541
11/17/2014,1.245,1.2526,1.2578,1.2444,-0.58%,1.3182,1.2541
11/14/2014,1.2523,1.2477,1.2548,1.2399,0.37%,1.3189,1.2551
11/13/2014,1.2477,1.2439,1.2492,1.2426,0.31%,1.3196,1.2553
11/12/2014,1.2439,1.2476,1.2499,1.2418,-0.29%,1.3203,1.2562
11/11/2014,1.2475,1.2421,1.25,1.2394,0.43%,1.3211,1.2574
11/10/2014,1.2421,1.2452,1.251,1.2417,-0.26%,1.3218,1.2585
11/07/2014,1.2454,1.2376,1.2471,1.2359,0.64%,1.3226,1.2602
11/06/2014,1.2375,1.2487,1.2535,1.2365,-0.89%,1.3234,1.2618
11/05/2014,1.2486,1.2546,1.2568,1.2457,-0.48%,1.3242,1.2643
11/04/2014,1.2546,1.2483,1.2578,1.2481,0.50%,1.325,1.266
11/03/2014,1.2483,1.2515,1.2517,1.2441,-0.34%,1.3257,1.2672
10/31/2014,1.2525,1.2612,1.2618,1.2485,-0.70%,1.3265,1.2692
10/30/2014,1.2613,1.2631,1.264,1.2547,-0.15%,1.3272,1.2709
10/29/2014,1.2632,1.2735,1.2772,1.2631,-0.80%,1.3279,1.2719
10/28/2014,1.2734,1.2698,1.2765,1.2683,0.28%,1.3286,1.2729
10/27/2014,1.2698,1.2683,1.2725,1.2666,0.22%,1.3291,1.2728
10/24/2014,1.267,1.2645,1.2696,1.2633,0.18%,1.3297,1.2731
10/23/2014,1.2647,1.2651,1.2679,1.2614,-0.02%,1.3303,1.2738
10/22/2014,1.2649,1.2716,1.274,1.2636,-0.52%,1.331,1.2747
10/21/2014,1.2715,1.2801,1.2841,1.2713,-0.66%,1.3317,1.2757
10/20/2014,1.2799,1.2758,1.2817,1.2731,0.28%,1.3323,1.2762
10/17/2014,1.2763,1.2811,1.2837,1.2744,-0.36%,1.3328,1.2758
10/16/2014,1.2809,1.2837,1.2847,1.2706,-0.22%,1.3334,1.2757
10/15/2014,1.2837,1.2659,1.2886,1.2624,1.41%,1.3339,1.2752
10/14/2014,1.2659,1.2752,1.2769,1.264,-0.74%,1.3344,1.2743
10/13/2014,1.2753,1.2637,1.2762,1.2619,0.99%,1.3351,1.2752
10/10/2014,1.2628,1.2691,1.2716,1.2605,-0.50%,1.3357,1.2752
10/09/2014,1.2691,1.2732,1.2792,1.2664,-0.34%,1.3364,1.2765
10/08/2014,1.2734,1.2669,1.2749,1.2622,0.51%,1.3371,1.2773
10/07/2014,1.267,1.2656,1.2683,1.2584,0.13%,1.3377,1.2777
10/06/2014,1.2654,1.251,1.2677,1.2504,1.09%,1.3384,1.2788
10/03/2014,1.2517,1.2668,1.2676,1.25,-1.19%,1.3392,1.2802
10/02/2014,1.2668,1.2622,1.2698,1.2612,0.35%,1.34,1.2832
10/01/2014,1.2624,1.2631,1.264,1.2584,-0.06%,1.3408,1.2849
09/30/2014,1.2632,1.2684,1.2703,1.2571,-0.42%,1.3416,1.2873
09/29/2014,1.2685,1.2685,1.2716,1.2664,0.00%,1.3424,1.2898
09/26/2014,1.2685,1.2752,1.2761,1.2677,-0.51%,1.3431,1.2921
09/25/2014,1.275,1.278,1.2784,1.2698,-0.23%,1.3439,1.2945
09/24/2014,1.278,1.2846,1.2864,1.2774,-0.52%,1.3445,1.2966
09/23/2014,1.2847,1.2851,1.2903,1.2842,-0.02%,1.3452,1.2986
09/22/2014,1.285,1.2827,1.2868,1.2815,0.16%,1.3458,1.3
