"((((1.0021, 157.9964), -100000), 0), 0)"
"((((1.1269, 157.9964), -80000), 3.141592653589793), 0)"
"((((1.2595, 117.8789), -100000), 0), 0)"
"((((1.2517, 117.8789), -80000), 0), 0)"
"((((1.2517, 117.8789), -80000), 3.141592653589793), 0)"
"((((1.2439, 117.8789), -80000), 0), 0)"
"((((1.2205, 157.9964), 60000), 0), 0)"
"((((1.1971, 157.9964), 40000), -3.141592653589793), 0)"
"((((1.1347, 82.9422), 80000), 20), 0)"
"((((1.3219, 198.8483), -80000), 0), 0)"
"((((1.5169, 33.9805), 60000), 0), 0)"
"((((1.5013, 198.8483), 40000), 0), 0)"
"((((1.5325, 54.5179), 60000), 0), 0)"
"((((1.5325, 54.5179), 60000), 20), 0)"
"((((1.5403, 82.9422), -40000), 3.141592653589793), 0)"
"((((1.5013, 82.9422), 20000), -3.141592653589793), 0)"
"((((1.5325, 82.9422), -80000), 0), 0)"
"((((1.3687, 117.8789), 60000), -3.141592653589793), 0)"
"((((1.3687, 117.8789), 60000), 20), 0)"
"((((1.0645, 33.9805), 80000), 20), 0)"
"((((1.1581, 198.8483), 80000), 0), 0)"
"((((1.1581, 198.8483), 80000), -3.141592653589793), 0)"
"((((1.2283, 82.9422), -100000), 3.141592653589793), 0)"
"((((1.1971, 157.9964), 60000), 0), 0)"
"((((1.4467, 198.8483), -60000), 3.141592653589793), 0)"
"((((1.3453, 157.9964), -60000), 0), 0)"
"((((1.3453, 157.9964), -60000), 3.141592653589793), 0)"
"((((1.4233, 33.9805), 100000), 0), 0)"
"((((1.4077, 82.9422), 60000), 20), 0)"
"((((1.4545, 82.9422), -80000), 0), 0)"
"((((1.1191, 157.9964), -100000), 3.141592653589793), 0)"
"((((0.9163, 10.7373), -100000), 0), 0)"
"((((0.9085, 33.9805), 60000), 20), 0)"
"((((0.8929, 117.8789), 80000), 0), 0)"
"((((0.8929, 117.8789), 80000), -3.141592653589793), 0)"
"((((0.8305, 33.9805), 40000), 20), 0)"
"((((1.0333, 54.5179), -60000), 0), 0)"
"((((1.0333, 54.5179), -60000), 3.141592653589793), 0)"
"((((1.0567, 54.5179), -80000), -20), 0)"
"((((1.0255, 117.8789), 100000), 0), 0)"
"((((0.9865, 54.5179), -80000), 0), 0)"
"((((0.9475, 117.8789), -80000), 3.141592653589793), 0)"
"((((0.9475, 117.8789), -80000), -20), 0)"
"((((1.0021, 54.5179), -80000), 3.141592653589793), 0)"
"((((1.0099, 33.9805), -100000), 0), 0)"
"((((0.9787, 198.8483), 100000), 0), 0)"
"((((0.9943, 54.5179), -60000), -20), 0)"
"((((1.2205, 33.9805), -100000), 0), 0)"
"((((1.2049, 157.9964), 60000), 0), 0)"
"((((1.2907, 157.9964), -100000), 3.141592653589793), 0)"
"((((1.4155, 33.9805), -80000), -20), 0)"
"((((1.4545, 117.8789), -20000), 0), 0)"
"((((1.5091, 20.6193), 60000), -3.141592653589793), 0)"
"((((1.5013, 54.5179), 60000), -3.141592653589793), 0)"
"((((1.5013, 54.5179), 60000), 20), 0)"
"((((1.4701, 198.8483), -80000), -20), 0)"
"((((1.4857, 198.8483), 40000), 0), 0)"
"((((1.4545, 33.9805), -80000), 3.141592653589793), 0)"
"((((1.4233, 82.9422), -100000), 3.141592653589793), 0)"
"((((1.3609, 82.9422), 80000), 0), 0)"
"((((1.3609, 82.9422), 80000), -3.141592653589793), 0)"
"((((1.3531, 33.9805), 80000), 20), 0)"
"((((1.4155, 117.8789), 60000), 20), 0)"
"((((1.0645, 117.8789), 100000), -3.141592653589793), 0)"
"((((1.1737, 157.9964), 60000), -3.141592653589793), 0)"
"((((1.2751, 82.9422), -100000), 0), 0)"
"((((1.3921, 117.8789), -60000), 0), 0)"
"((((1.4155, 198.8483), -80000), 0), 0)"
"((((1.4311, 198.8483), -60000), -20), 0)"
"((((1.1815, 157.9964), -100000), 0), 0)"
"((((1.3999, 82.9422), -80000), 0), 0)"
"((((1.3687, 198.8483), -100000), 0), 0)"
"((((1.3531, 157.9964), -80000), 0), 0)"
"((((0.9241, 198.8483), -60000), 0), 0)"
"((((0.9241, 198.8483), -60000), -20), 0)"
"((((0.8929, 117.8789), 20000), -3.141592653589793), 0)"
"((((0.9319, 157.9964), -80000), 0), 0)"
"((((0.9319, 157.9964), -80000), -20), 0)"
"((((0.9319, 198.8483), -40000), 0), 0)"
"((((1.0489, 198.8483), -80000), 3.141592653589793), 0)"
"((((1.0489, 198.8483), -80000), -20), 0)"
"((((0.9865, 54.5179), 100000), 0), 0)"
"((((0.9553, 33.9805), -80000), 3.141592653589793), 0)"
"((((0.9865, 82.9422), 40000), 0), 0)"
"((((0.9475, 117.8789), -40000), 3.141592653589793), 0)"
"((((1.1659, 157.9964), -100000), 3.141592653589793), 0)"
"((((1.1659, 82.9422), 100000), -3.141592653589793), 0)"
"((((1.2829, 198.8483), -100000), 3.141592653589793), 0)"
"((((1.1503, 117.8789), 60000), -3.141592653589793), 0)"
"((((1.1503, 117.8789), 60000), 20), 0)"
"((((1.2595, 157.9964), 40000), 0), 0)"
